epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.234,0.63774,2.59173,1.16358,0.72834,0.6655,0.74766,0.61217,0.61324,1.72702,1.13752,0.000330808,0.000330808,0.000330808
2,607.272,0.68281,1.57204,1.1699,0.66824,0.68565,0.76748,0.61994,0.66167,1.52049,1.16695,0.000656836,0.000656836,0.000656836
3,681.051,0.70854,1.37615,1.17278,0.73217,0.73718,0.79271,0.61234,0.82032,1.46815,1.31535,0.00097553,0.00097553,0.00097553
4,754.194,0.70773,1.28773,1.17896,0.8225,0.80863,0.86263,0.69171,0.72096,1.06745,1.23736,0.000967,0.000967,0.000967
5,828.246,0.69854,1.13375,1.16692,0.80468,0.77782,0.86197,0.71238,0.64755,0.95857,1.14618,0.000956,0.000956,0.000956
6,900.71,0.67103,1.04428,1.14737,0.83942,0.77445,0.87646,0.69884,0.70961,0.96128,1.19387,0.000945,0.000945,0.000945
7,972.932,0.6577,0.96504,1.13944,0.80046,0.83664,0.87219,0.72847,0.63102,0.82689,1.14286,0.000934,0.000934,0.000934
8,1046.22,0.65087,0.92351,1.12574,0.87768,0.83183,0.90736,0.77652,0.59178,0.70867,1.10163,0.000923,0.000923,0.000923
9,1119.04,0.6349,0.83676,1.11873,0.82296,0.83401,0.91478,0.76617,0.61653,0.79096,1.13946,0.000912,0.000912,0.000912
10,1192.88,0.61367,0.79787,1.10987,0.82828,0.85313,0.91818,0.7869,0.57315,0.7525,1.07036,0.000901,0.000901,0.000901
11,1267.17,0.6113,0.78841,1.10381,0.83789,0.81653,0.90327,0.77633,0.57081,0.73458,1.07274,0.00089,0.00089,0.00089
12,1340.38,0.59343,0.75895,1.09546,0.93178,0.85089,0.94574,0.81718,0.55392,0.56695,1.06956,0.000879,0.000879,0.000879
13,1413.52,0.58218,0.71752,1.08391,0.84112,0.77426,0.89831,0.7718,0.57353,0.78147,1.08926,0.000868,0.000868,0.000868
14,1486.85,0.57611,0.71399,1.07671,0.90651,0.85923,0.9312,0.79921,0.56705,0.62183,1.07532,0.000857,0.000857,0.000857
15,1560.33,0.55974,0.69685,1.07789,0.91162,0.87402,0.93648,0.81377,0.56549,0.56269,1.07938,0.000846,0.000846,0.000846
16,1634.55,0.5581,0.64612,1.06966,0.90089,0.83419,0.92484,0.80841,0.54245,0.59152,1.0505,0.000835,0.000835,0.000835
